Vocabulary;Lesson;Pronunciation;EnglishDef;PersianDef;Examples
Ambush;20;[ˈamˌbo͝oSH];a trap in which soldiers or othe enemies hide to make a surprise attack;دامی که در آن سربازان یا دشمنان دیگر مخفی می شوند تا غافلگیرانه حمله کنند ، کمین;"a. The ambush became a tragedy for those who attempted it because they were all killed.

b. General Taylor raved about the ingenious ambush he planned.

c. The troops lay in ambush in the dense woods all through the night."
Crafty;20;[craft·y || 'krɑːftɪ];"skillful in deceiving others; sly; tricky";ماهر در فریب دادن دیگران ، رند ، حقه باز;"a. His crafty mind prepared a comprehensive plan to defraud his partners.

b. Leo didn't use brutal strength against his opponents, but he used his crafty bag of tricks to beat them.

c. The Indians did not fail for the crafty ambush."
Defiant;20;[de'fi·ant || -nt];"openly resisting; challenging";آشکارا مقاومت می کند ، مبارزه طلب;"a. ""I refuse to be manipulated"" the defiant young woman told her father.

b. Professor Carlyle was defiant of any attempt to disprove his theory.

c. Defiant of everyone, the addict refused to be helped."
Vigor;20;[ˈvigər];active strength or force;نیرو یا قدرت فعال;"a. Having a great deal of vigor, Jason was able to excel in all sports.

b. Tom Thumb made up for size by having more vigor than most people.

c. Putting all her vigor into the argument, Patsy persuaded me to let her drive"
Perish;20;[per·ish || 'perɪʃ];"be destroyed; die";نابود شدن ، مردن;"a. Unless the plant gets water for its roots to absorb, it will perish.

b. Custer and all his men perished at the Little Big Horn.

c. We are trying to make sure that democracy will never perish from this earth."
Fragile;20;[frag·ile || 'frædʒl /'frædʒaɪl];"easily broken, damaged, or destroyed; delicate";براحتی شکسته می شود ، آسیب می بیند یا از بین می رود ، ظریف;"a. The expensive glassware is very fragile.

b. Things made out of plywood have a tendency to be fragile.

c. On the box was a label which read, ""Fragile! Handle with care!"""
Captive;20;[cap·tive || 'kæptɪv];prisoner;زندانی ، اسیر;"a. The major was grateful to be released after having been held captive for two years.

b. Until the sheriff got them out, the two boys were held captive in the barn.

c. Placido Domingo can hold an audience captive with his marvelous singing voice."
Proper;20;[prop·er || 'prɑpə(r) /'prɒ-];"be successful; have good fortune";موفق بودن ، اقبال خوب داشتن;"a. Howard Hughes owned numerous businesses and most of them prospered.

b. No one should prosper from the misfortunes of his or her friends.

c. The annual report showed that the new business was prospering."
Devour;20;[de·vour || dɪ'vaʊə];"eat hungrily; absorb completely; take in greedily";با ولع خوردن ، کاملاً جذب کردن ، حریصانه جذب کردن;"a. It was a horrid sight to see the lion devour the lamb.

b. The animal doctor was pleased to see the terrier devour the dog food.

c. My aunt devours four or five mystery books each week."
Plea;21;[plɪː];"request; appeal; that which is asked of another";درخواست ، خواهش ، آنچه از دیگری خواسته می شود;"a. The employees turned in a plea to their boss for higher pay.

b. The President's plea to release the captives was denied by the enemy.

c. In court today, the judge consented to the lawyer's plea for a light sentence."
Weary;21;[wea·ry || 'wɪrɪ /'wɪər];tired;خسته;"a. I am weary of debating the same topic all lesson.

b. The farmer grew weary of bringing in the harvest every year for the past forty summers.

c. Let me rest my weary bones here before the march commences."
Collide;21;[col·lide || kə'laɪd];come together with force;با نیرو به هم خوردن;"a. When the two autos collided, the people in the fragile smaller car perished.

b. Committees are exploring ways of keeping cars from colliding.

c. In my estimate the two bicycles collided at five o'clock."
Confirm;21;[con·firm || kən'fɜːm];"prove to be true or correct; make certain";اثبات این که چیزی درست یا صحیح است ، اطمینان دادن;"a. The way Victor talked back to his mother confirmed that he was defiant.

b. A probe of the criminal's background confirmed that he had been in jail numerous times.

c. Years of research confirmed the theory that smoking is harmful."
Verify;21;[ver·i·fy || 'verɪfaɪ];"prove to be true; confirm";اثبات این که چیزی درست است ، تایید کردن;"a. A ""yes man"" is an employee who will verify everything the boss says.

a. I was there as a witness to verify the charges against the bus driver.

b. The data I turned in were verified by the clerks in our office."
Anticipate;21;[an·tic·i·pate || æn'tɪsɪpeɪt];"look forward to; expect";چشم انتظار بودن ، انتظار داشتن;"a. We anticipate a panic if the news is revealed to the public.

b. Harriet anticipated the approach of the mailman with fright.

c. With his weird powers, Lonnie was able to anticipate the ringing of the telephone."
Dilemma;21;[di·lem·ma || dɪ'lemə];"situation requiring a choice between two evils; a difficult choice";موقعیتی که نیازمند انتخاب بین دو چیز بد است ، یک انتخاب دشوار;"a. It is sensible not to panic in the face of a dilemma.

b. Lottie faced the dilemma of whether to approve of the operation or not.

c. In The Lady or the Tiger, the hero had the dilemma of which door to open."
Detour;21;[de·tour || 'diː‚tʊə];a roundabout way;یک مسیر انحرافی;"a. Pop was uneasy about taking the detour in this strange town.

b. In order to evade city traffic, Anthony took a detour.

c. The detour took us ten miles off our course."
Merit;21;[mer·it || 'merɪt];"goodness; worth; value";خوبی ، ارزش;"a. There is little merit in lying to those you love.

b. My brother was promoted because of merit, not because of friendship.

c. Do you think the tradition of marriage has any merit?"
Transmit;21;[trans·mit || trænz'mɪt ,-s-];"send over; pass on; pass along; let through";فرستادن ، انتقال دادن ، عبور دادن;"a. Garcia's message was transmitted to the appropriate people.

b. Scientists can now transmit messages from space vessels to earth.

c. Our local radio station does not transmit broadcasts after midnight."
Relieve;21;[re·lieve || rɪ'lɪːv];"make less; make easier; reduce the pain of; replace; release; free";کاستن ، تسکین دادن ، جایگزین کردن ، آسوده و رها کردن ، آزاد کردن;"a. The pills relieved the pain from the wound I received in the conflict.

b. A majority of the population wanted to relieve the mayor of his duty.

c. The peace agreement relieved us of the threat of an attack."
Baffle;21;[baf·fle || 'bæfl];be too hard to understand or solve;درک یا حل آن بسیار دشوار است ، مبهوت کردن;"a. How so mediocre a player earned so much money baffled me.

b. The topic of relativity is a baffling one.

c. Sherlock Holmes would undoubtedly have been baffled by the way the crime was committed."
Warden;22;[ward·en || 'wɔrdn /'wɔːdn];"keeper; guard; person in charge of a prison";حافظ ، نگهبان ، مسئول زندان ، زندانبان;"a. The warden found himself facing two hundred defiant prisoners.

b. A cautious warden always has to anticipate the possibility of an escape.

c. When the journalists asked to meet with Warden Thomas, he sent word that he was sick."
Acknowledge;22;[ac·knowl·edge || ək'nɒlɪdʒ];admit to be true;اعتراف کردن;"a. The experts reluctantly acknowledged that their estimate of food costs was not accurate.

b. District Attorney Hogan got the man to acknowledge that he had lied in court.

c. ""I hate living alone,"" the bachelor acknowledged."
Justice;22;[jus·tice || 'dʒʌstɪs];"just conduct; fair dealing";رفتار عادلانه ، برخورد منصفانه ، عدالت;"a. Daniel Webster abandoned any hope for justice once he saw the jury.

b. Our pledge to the flag refers to ""liberty and justice for all.""

c. The warden acknowledged that justice had not been served in my case."
Delinquent;22;[de'lin·quent || -nt];"an offender; criminal; behind time";متخطی ، جنایتکار ، بزهکار;"a. The youthful delinquent tried to avoid going to jail.

b. All delinquents are banned from the Student Council at school.

c. If you are delinquent in paying your dues, you will be dropped from membership in the club."
Reject;22;[re·ject || rɪ'dʒekt];refuse to take, use, believe, consider, grant, etc.;از گرفتن ، بکار بردن ، باور کردن ، بررسی کردن و اعطاء چیزی امتناع مرزیدن ، نپذیرفتن ، رد کردن;"a. When Sylvester tried to join the army, he was hoping the doctors would not reject him because of his eyesight.

b. The reform bill was unanimously rejected by Congress.

c. When his promotion was rejected by the newspaper owner, the editor was thoroughly bewildered."
